,tic,date,open,high,low,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
83,^VNINDEX,2001-02-26,255.61,255.61,255.61,255.61,97130,15.485065005056157,270.87679843029485,213.88620156970518,83.04225867146766,85.56589948275911,56.91451945599039,227.23366666666664,187.88633333333334,25.43000030517578,0.0
84,^VNINDEX,2001-02-28,252.4,252.4,252.4,252.4,293400,14.70451725442075,269.82116296687593,218.74983703312407,80.04295376318743,71.60834157095168,47.35605283353435,229.3156666666667,190.07766666666666,28.350000381469727,0.0
85,^VNINDEX,2001-03-02,253.64,253.64,253.64,253.64,207610,14.024205242088726,268.7127351469891,223.41026485301083,80.32689874770594,71.60580547181637,48.64776223062233,231.62099999999998,192.286,27.43000030517578,0.0
86,^VNINDEX,2001-03-05,250.73,250.73,250.73,250.73,165700,13.099434839954569,267.20593288097416,227.7750671190259,77.64497841653395,58.681439015749326,40.02854268154471,233.72466666666665,194.42799999999997,27.1200008392334,0.0
87,^VNINDEX,2001-03-07,248.05,248.05,248.05,248.05,202900,12.011997146489847,265.4396264654218,231.77937353457827,75.25130994895477,46.03534455508151,32.46679639172338,235.62266666666667,196.48999999999998,24.1200008392334,0.0
88,^VNINDEX,2001-03-09,252.61,252.61,252.61,252.61,118320,11.386594903296071,263.7515062742989,235.89349372570106,76.52512734519316,60.02327286638839,38.50666289060936,237.54799999999997,198.5926666666667,25.6200008392334,0.0
89,^VNINDEX,2001-03-12,255.99,255.99,255.99,255.99,122200,11.036269515684268,262.58279665512373,239.39320334487618,77.41642500367021,70.93147177260741,42.57595898892683,239.46166666666664,200.71633333333335,30.31999969482422,0.0
90,^VNINDEX,2001-03-14,257.7,257.7,257.7,257.7,143900,10.772336171349849,261.9255546487675,242.1234453512325,77.85644213856438,76.4793704608014,44.560030489611904,241.30766666666665,202.83283333333333,29.610000610351562,0.0
91,^VNINDEX,2001-03-16,258.52,258.52,258.52,258.52,102470,10.508150943674138,261.8195120404144,243.9454879595856,78.06841869932673,78.97811969912428,45.52484424446549,243.15533333333332,204.92733333333334,29.90999984741211,0.0
92,^VNINDEX,2001-03-19,260.29,260.29,260.29,260.29,179700,10.322523051405483,262.4755680325154,244.73843196748462,78.52741319574417,88.1040920637837,47.6278665515088,244.93733333333333,207.01483333333334,29.780000686645508,0.0
